,company name,location,datum,detail,status rocket,rocket,status mission,dates,times,country,launch_location,long,lat
3745,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1967-08-24 04:59:00+00:00,Cosmos-2I (63SM) | Cosmos 173,StatusRetired,450.0 ,Success,1967-08-24,04:59:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3746,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1967-08-16 17:02:00+00:00,Titan IIIB | OPS 4866,StatusRetired,59.0 ,Success,1967-08-16,17:02:00,USA,"Vandenberg AFB, California, USA",-120.5163949,34.7582101
3747,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-08-09 05:45:00+00:00,Voskhod | Cosmos 172,StatusRetired,450.0 ,Success,1967-08-09,05:45:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3748,RVSN USSR,"Site 162, Baikonur Cosmodrome, Kazakhstan",1967-08-08 16:05:00+00:00,Tsyklon | Cosmos 171,StatusRetired,450.0 ,Success,1967-08-08,16:05:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3749,General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",1967-08-01 22:33:00+00:00,Atlas-SLV3 Agena-D | Lunar Orbiter 5,StatusRetired,450.0 ,Success,1967-08-01,22:33:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
3750,RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",1967-07-31 16:45:00+00:00,Tsyklon | Cosmos 170,StatusRetired,450.0 ,Success,1967-07-31,16:45:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3751,General Dynamics,"LC-576B3, Vandenberg AFB, California, USA",1967-07-27 19:00:00+00:00,Atlas-D OV1 | OV1-11/OV1-12/OV1-86,StatusRetired,450.0 ,Partial Failure,1967-07-27,19:00:00,USA,"Vandenberg AFB, California, USA",-120.5163949,34.7582101
3752,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1967-07-21 06:00:00+00:00,Voskhod | Zenit-4 n†­32,StatusRetired,450.0 ,Failure,1967-07-21,06:00:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3753,RVSN USSR,"Site 162, Baikonur Cosmodrome, Kazakhstan",1967-07-17 16:45:00+00:00,Tsyklon | Cosmos 169,StatusRetired,450.0 ,Success,1967-07-17,16:45:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3754,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1967-07-14 11:53:00+00:00,Atlas-LV3C Centaur-D | Surveyor 4,StatusRetired,450.0 ,Success,1967-07-14,11:53:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
